ranking_date,ranking,player,points
2004-12-27,143,102644,305.0
2004-12-27,144,102269,304.0
2004-12-27,145,101774,303.0
2004-12-27,146,104312,302.0
2004-12-27,147,103110,302.0
2004-12-27,148,104056,302.0
2004-12-27,149,104043,300.0
2004-12-27,150,103429,291.0
2004-12-27,151,103035,291.0
2004-12-27,152,102785,290.0
2004-12-27,153,103737,288.0
2004-12-27,154,104117,286.0
2004-12-27,155,103527,284.0
2004-12-27,156,103560,284.0
2004-12-27,157,104371,283.0
2004-12-27,158,103857,277.0
2004-12-27,159,104571,275.0
2004-12-27,160,103470,275.0
2004-12-27,161,103204,275.0
2004-12-27,162,102925,272.0
2004-12-27,163,104542,270.0
2004-12-27,164,103700,269.0
2004-12-27,165,103305,267.0
2004-12-27,166,101868,265.0
2004-12-27,167,103356,263.0
2004-12-27,168,104527,262.0
2004-12-27,169,103626,261.0
2004-12-27,170,102967,256.0
2004-12-27,171,104433,256.0
2004-12-27,172,104010,252.0
2004-12-27,173,104025,251.0
2004-12-27,174,102869,250.0
2004-12-27,175,102287,250.0
2004-12-27,176,102788,249.0
2004-12-27,177,104468,249.0
2004-12-27,178,104548,246.0
2004-12-27,179,104453,244.0
2004-12-27,180,104593,240.0
2004-12-27,181,102987,238.0
2004-12-27,182,103009,237.0
2004-12-27,183,103157,236.0
2004-12-27,184,104499,236.0
2004-12-27,185,104121,234.0
2004-12-27,186,104925,229.0
2004-12-27,187,102950,226.0
2004-12-27,188,103455,225.0
2004-12-27,189,103976,223.0
2004-12-27,190,102834,220.0
2004-12-27,191,104160,219.0
2004-12-27,192,103166,217.0
2004-12-27,193,103726,217.0
2004-12-27,194,103393,217.0
2004-12-27,195,104372,216.0
2004-12-27,196,102107,216.0
2004-12-27,197,104273,215.0
2004-12-27,198,103534,214.0
2004-12-27,199,103373,214.0
2004-12-27,200,103594,212.0
2014-12-29,1,104925,11360.0
2014-12-29,2,103819,9775.0
2014-12-29,3,104745,6835.0
2014-12-29,4,104527,5370.0
2014-12-29,5,105453,5025.0
2014-12-29,6,104918,4675.0
2014-12-29,7,104607,4600.0
2014-12-29,8,105683,4440.0
2014-12-29,9,105227,4150.0
2014-12-29,10,103970,4045.0
2014-12-29,11,105777,3645.0
2014-12-29,12,104542,2740.0
2014-12-29,13,105208,2455.0
2014-12-29,14,103852,2130.0
2014-12-29,15,105138,2110.0
2014-12-29,16,104731,2080.0
2014-12-29,17,103990,2015.0
2014-12-29,18,104792,1900.0
2014-12-29,19,104545,1890.0
2014-12-29,20,104926,1790.0
2014-12-29,21,104468,1730.0
2014-12-29,22,105676,1599.0
2014-12-29,23,105238,1455.0
2014-12-29,24,104259,1415.0
2014-12-29,25,103898,1365.0
2014-12-29,26,104755,1350.0
2014-12-29,27,103333,1320.0
2014-12-29,28,104919,1299.0
2014-12-29,29,104871,1240.0
2014-12-29,30,104655,1222.0
2014-12-29,31,104586,1210.0
2014-12-29,32,105053,1175.0
2014-12-29,33,104269,1135.0
2014-12-29,34,105373,1094.0
2014-12-29,35,105023,1090.0
2014-12-29,36,104198,1040.0
2014-12-29,37,105449,999.0
2014-12-29,38,104229,993.0
2014-12-29,39,106233,989.0
2014-12-29,40,103794,973.0
2014-12-29,41,104665,950.0
2014-12-29,42,106058,934.0
2014-12-29,43,105668,915.0
2014-12-29,44,105173,898.0
2014-12-29,45,104312,870.0
2014-12-29,46,104719,860.0
2014-12-29,47,104180,855.0
2014-12-29,48,104022,850.0
2014-12-29,49,104797,850.0
2014-12-29,50,103720,845.0
2014-12-29,51,105807,841.0
2014-12-29,52,106401,830.0
2014-12-29,53,105577,830.0
2014-12-29,54,105311,822.0
2014-12-29,55,104620,810.0
2014-12-29,56,106071,797.0
2014-12-29,57,105385,796.0
2014-12-29,58,104660,781.0
2014-12-29,59,105526,781.0
2014-12-29,60,105643,775.0
2014-12-29,61,106043,775.0
2014-12-29,62,104338,770.0
2014-12-29,63,105077,761.0
2014-12-29,64,103893,759.0
2014-12-29,65,105064,753.0
2014-12-29,66,106210,743.0
2014-12-29,67,104559,730.0
2014-12-29,68,103285,715.0
2014-12-29,69,105583,711.0
2014-12-29,70,105062,705.0
2014-12-29,71,104597,700.0
2014-12-29,72,104122,700.0
2014-12-29,73,103813,693.0
2014-12-29,74,104979,691.0
2014-12-29,75,104594,682.0
2014-12-29,76,104291,676.0
2014-12-29,77,103163,675.0
2014-12-29,78,103607,659.0
2014-12-29,79,105376,641.0
2014-12-29,80,105641,632.0
2014-12-29,81,105032,625.0
2014-12-29,82,104890,621.0
2014-12-29,83,104898,620.0
2014-12-29,84,104997,619.0
2014-12-29,85,104571,610.0
2014-12-29,86,105575,605.0
2014-12-29,87,104273,600.0
2014-12-29,88,104268,596.0
2014-12-29,89,104460,596.0
2014-12-29,90,105154,593.0
2014-12-29,91,105292,582.0
2014-12-29,92,105723,580.0
2014-12-29,93,105147,576.0
2014-12-29,94,105041,576.0
2014-12-29,95,104471,575.0
2014-12-29,96,103908,565.0
2014-12-29,97,104735,564.0
2014-12-29,98,104534,560.0
2014-12-29,99,104424,559.0
2014-12-29,100,105936,558.0
2014-12-29,101,104678,558.0
2014-12-29,102,106432,557.0
2014-12-29,103,104216,554.0
2014-12-29,104,104947,553.0
2014-12-29,105,104882,551.0
2014-12-29,106,104932,540.0
2014-12-29,107,104868,539.0
2014-12-29,108,103656,536.0
2014-12-29,109,106000,526.0
2014-12-29,110,104098,520.0
2014-12-29,111,105732,511.0
2014-12-29,112,104593,510.0
2014-12-29,113,103781,505.0
2014-12-29,114,105137,505.0
2014-12-29,115,105065,502.0
2014-12-29,116,104676,493.0
2014-12-29,117,103917,490.0
2014-12-29,118,105332,474.0
2014-12-29,119,104628,464.0
2014-12-29,120,104736,460.0
2014-12-29,121,106045,458.0
2014-12-29,122,103812,455.0
